"filename", "language", "JSON", "JavaScript", "Markdown", "CSS", "XML", "HTML", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\narihani\Desktop\video-hosting\frontend\src\img\videoplayer\forward-5.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\narihani\Desktop\video-hosting\frontend\src\img\videoplayer\fullscreen.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\narihani\Desktop\video-hosting\frontend\src\img\videoplayer\muted.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\narihani\Desktop\video-hosting\frontend\src\img\videoplayer\next.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\narihani\Desktop\video-hosting\frontend\src\img\videoplayer\pause.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\narihani\Desktop\video-hosting\frontend\src\img\videoplayer\play.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\narihani\Desktop\video-hosting\frontend\src\img\videoplayer\previous.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\narihani\Desktop\video-hosting\frontend\src\img\videoplayer\setting.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\narihani\Desktop\video-hosting\frontend\src\img\videoplayer\volume.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\narihani\Desktop\video-hosting\frontend\src\img\yourvideos.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\narihani\Desktop\video-hosting\frontend\src\index.css", "CSS", 0, 0, 0, 106, 0, 0, 0, 2, 6, 114
"c:\Users\narihani\Desktop\video-hosting\frontend\src\index.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\narihani\Desktop\video-hosting\frontend\src\pages\Channel\ChannelAbout\ChannelAbout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 35, 0, 3, 38
"c:\Users\narihani\Desktop\video-hosting\frontend\src\pages\Channel\ChannelAbout\ChannelAbout.module.css", "CSS", 0, 0, 0, 18, 0, 0, 0, 0, 5, 23
"c:\Users\narihani\Desktop\video-hosting\frontend\src\pages\Channel\ChannelChannels\ChannelChannels.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 2, 16
"c:\Users\narihani\Desktop\video-hosting\frontend\src\pages\Channel\ChannelChannels\ChannelChannels.module.css", "CSS", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\narihani\Desktop\video-hosting\frontend\src\pages\Channel\ChannelFeatured\ChannelFeatured.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 2, 15
"c:\Users\narihani\Desktop\video-hosting\frontend\src\pages\Channel\ChannelFeatured\ChannelFeatured.module.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\narihani\Desktop\video-hosting\frontend\src\pages\Channel\ChannelPlaylists\ChannelPlaylists.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 16, 0, 2, 18
"c:\Users\narihani\Desktop\video-hosting\frontend\src\pages\Channel\ChannelPlaylists\ChannelPlaylists.module.css", "CSS", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\narihani\Desktop\video-hosting\frontend\src\pages\CreateVideo\CreateVideo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 157, 0, 14, 171
"c:\Users\narihani\Desktop\video-hosting\frontend\src\pages\CreateVideo\CreateVideo.module.css", "CSS", 0, 0, 0, 186, 0, 0, 0, 4, 17, 207
"c:\Users\narihani\Desktop\video-hosting\frontend\src\pages\Home\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 5, 26
"c:\Users\narihani\Desktop\video-hosting\frontend\src\pages\Login\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 86, 1, 8, 95
"c:\Users\narihani\Desktop\video-hosting\frontend\src\pages\Login\Login.module.css", "CSS", 0, 0, 0, 79, 0, 0, 0, 3, 7, 89
"c:\Users\narihani\Desktop\video-hosting\frontend\src\pages\Playlist\Playlist.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 59, 0, 2, 61
"c:\Users\narihani\Desktop\video-hosting\frontend\src\pages\Playlist\Playlist.module.css", "CSS", 0, 0, 0, 125, 0, 0, 0, 1, 14, 140
"c:\Users\narihani\Desktop\video-hosting\frontend\src\pages\Registration\Registration.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 128, 1, 8, 137
"c:\Users\narihani\Desktop\video-hosting\frontend\src\pages\Registration\Registration.module.css", "CSS", 0, 0, 0, 82, 0, 0, 0, 4, 7, 93
